x,y,layer1_gray,layer2_gray,layer3_gray,trilayer_gray
108,657,19.719999313354492,9.880000114440918,124.0,84.0
289,925,7.880000114440918,80.83999633789062,3.0,50.279998779296875
839,957,88.80000305175781,58.91999816894531,11.15999984741211,87.04000091552734
249,702,13.319999694824219,37.119998931884766,42.63999938964844,50.880001068115234
929,473,83.36000061035156,12.920000076293945,76.16000366210938,94.4000015258789
371,471,153.1199951171875,16.31999969482422,93.04000091552734,143.67999267578125
673,314,34.91999816894531,9.640000343322754,83.5199966430664,70.23999786376953
459,141,49.52000045776367,9.84000015258789,40.0,54.400001525878906
703,828,8.0,31.799999237060547,20.959999084472656,33.2400016784668
675,771,18.200000762939453,186.55999755859375,4.0,114.08000183105469
704,906,66.04000091552734,3.119999885559082,48.959999084472656,64.95999908447266
483,118,105.08000183105469,145.52000427246094,8.479999542236328,142.0
143,542,25.479999542236328,14.039999961853027,69.0,59.52000045776367
953,107,34.040000915527344,91.72000122070312,4.28000020980835,71.27999877929688
134,491,9.199999809265137,26.440000534057617,21.360000610351562,31.360000610351562
142,546,36.63999938964844,9.15999984741211,91.95999908447266,75.5199966430664
724,66,43.040000915527344,4.840000152587891,22.799999237060547,38.84000015258789
870,795,160.75999450683594,74.31999969482422,14.760000228881836,136.9600067138672
561,476,105.5999984741211,11.399999618530273,155.1999969482422,149.0
698,325,3.880000114440918,97.44000244140625,6.400000095367432,59.119998931884766
716,739,147.47999572753906,4.0,61.040000915527344,116.36000061035156
663,141,164.63999938964844,13.920000076293945,108.0,157.1199951171875
598,643,49.36000061035156,11.079999923706055,32.119998931884766,50.720001220703125
1012,284,35.400001525878906,34.439998626708984,6.880000114440918,42.08000183105469
475,294,212.83999633789062,38.279998779296875,33.36000061035156,155.8000030517578
48,899,230.52000427246094,4.0,157.0399932861328,214.44000244140625
183,102,33.36000061035156,243.9600067138672,3.799999952316284,153.9600067138672
315,483,28.440000534057617,10.600000381469727,42.560001373291016,44.7599983215332
380,272,25.399999618530273,203.83999633789062,4.0,127.5999984741211
952,991,46.36000061035156,6.119999885559082,210.1199951171875,143.8000030517578
226,899,107.95999908447266,4.0,86.95999908447266,108.87999725341797
225,55,61.31999969482422,3.9200000762939453,90.4800033569336,85.27999877929688
685,398,53.720001220703125,4.360000133514404,43.20000076293945,55.560001373291016
849,678,4.199999809265137,12.359999656677246,38.15999984741211,30.15999984741211
377,299,172.63999938964844,35.720001220703125,31.440000534057617,131.27999877929688
613,684,4.0,116.68000030517578,9.119999885559082,71.0
363,808,58.2400016784668,12.199999809265137,51.84000015258789,67.0
142,909,81.80000305175781,3.0399999618530273,50.0,73.91999816894531
336,895,134.72000122070312,3.799999952316284,178.0399932861328,173.39999389648438
59,580,58.959999084472656,5.360000133514404,19.559999465942383,45.959999084472656
774,270,18.479999542236328,120.5999984741211,4.0,78.27999877929688
630,1001,4.239999771118164,123.44000244140625,11.800000190734863,76.5199966430664
444,512,3.119999885559082,52.0,7.71999979019165,34.47999954223633
832,271,25.520000457763672,125.19999694824219,4.0,84.63999938964844
428,14,4.0,210.44000244140625,9.239999771118164,122.55999755859375
526,717,113.23999786376953,5.360000133514404,195.8800048828125,172.27999877929688
719,238,199.8000030517578,3.0,83.5199966430664,157.0399932861328
438,46,62.68000030517578,7.400000095367432,131.83999633789062,110.68000030517578
325,498,5.480000019073486,56.08000183105469,15.119999885559082,41.880001068115234
597,621,43.959999084472656,48.08000183105469,6.079999923706055,53.720001220703125
764,478,64.55999755859375,9.4399995803833,113.83999633789062,102.95999908447266
860,798,224.8000030517578,65.16000366210938,23.1200008392334,171.55999755859375
226,490,4.239999771118164,69.4000015258789,8.239999771118164,44.880001068115234
502,767,12.079999923706055,55.040000915527344,4.039999961853027,38.91999816894531
194,270,21.600000381469727,203.55999755859375,3.799999952316284,125.23999786376953
936,258,9.640000343322754,41.400001525878906,4.119999885559082,30.15999984741211
28,277,23.1200008392334,64.23999786376953,4.0,50.08000183105469
488,174,5.400000095367432,8.760000228881836,49.63999938964844,35.0
608,744,55.119998931884766,3.880000114440918,30.760000228881836,49.15999984741211
296,173,6.039999961853027,6.800000190734863,64.87999725341797,42.31999969482422
236,344,4.0,177.1199951171875,8.239999771118164,103.5199966430664
869,49,37.720001220703125,4.079999923706055,59.279998779296875,55.439998626708984
142,837,4.360000133514404,83.63999938964844,12.4399995803833,55.0
837,274,43.52000045776367,182.27999877929688,4.840000152587891,126.44000244140625
266,146,23.600000381469727,8.239999771118164,32.959999084472656,35.560001373291016
228,226,222.36000061035156,4.0,178.16000366210938,221.36000061035156
426,524,7.400000095367432,72.0,21.360000610351562,55.20000076293945
997,239,91.36000061035156,4.480000019073486,36.52000045776367,72.5999984741211
991,571,187.8800048828125,4.0,72.08000183105469,144.47999572753906
381,1006,7.880000114440918,5.199999809265137,77.23999786376953,49.439998626708984
21,618,75.87999725341797,148.8800048828125,6.320000171661377,126.5199966430664
154,743,90.12000274658203,4.480000019073486,34.84000015258789,70.95999908447266
301,933,12.520000457763672,88.23999786376953,3.0,56.880001068115234
514,413,71.5199966430664,5.639999866485596,26.079999923706055,56.599998474121094
475,320,30.520000457763672,8.0,200.75999450683594,131.24000549316406
726,337,3.4000000953674316,48.880001068115234,8.720000267028809,33.36000061035156
515,340,3.0,247.44000244140625,6.079999923706055,140.72000122070312
49,708,19.1200008392334,14.720000267028809,56.91999816894531,49.720001220703125
680,379,18.639999389648438,4.599999904632568,32.79999923706055,30.68000030517578
762,94,11.720000267028809,86.83999633789062,3.0,55.68000030517578
464,955,91.44000244140625,78.27999877929688,9.760000228881836,98.36000061035156
957,116,47.959999084472656,42.119998931884766,6.679999828338623,53.040000915527344
691,9,3.680000066757202,150.9600067138672,8.199999809265137,89.12000274658203
226,727,32.720001220703125,3.319999933242798,43.880001068115234,43.720001220703125
529,868,11.319999694824219,44.7599983215332,32.959999084472656,48.79999923706055
268,130,45.599998474121094,18.360000610351562,13.359999656677246,42.31999969482422
700,746,69.68000030517578,6.079999923706055,28.559999465942383,57.20000076293945
828,330,7.440000057220459,46.2400016784668,54.7599983215332,59.400001525878906
917,446,21.0,34.400001525878906,4.519999980926514,32.84000015258789
546,484,20.920000076293945,17.360000610351562,70.72000122070312,59.599998474121094
190,596,9.800000190734863,69.5199966430664,4.0,45.560001373291016
130,82,42.439998626708984,7.920000076293945,13.960000038146973,35.279998779296875
163,469,29.1200008392334,11.15999984741211,19.360000610351562,32.560001373291016
411,729,24.040000915527344,3.240000009536743,29.1200008392334,31.1200008392334
640,303,64.83999633789062,12.960000038146973,45.040000915527344,67.27999877929688
703,583,44.68000030517578,4.0,21.040000915527344,38.040000915527344
811,555,133.52000427246094,4.0,152.47999572753906,158.83999633789062
104,952,116.27999877929688,147.16000366210938,8.399999618530273,148.8800048828125
896,1022,4.800000190734863,118.36000061035156,12.680000305175781,74.31999969482422
360,922,36.20000076293945,6.480000019073486,13.600000381469727,30.760000228881836
54,181,4.199999809265137,105.44000244140625,8.84000015258789,64.80000305175781
793,1014,4.0,36.31999969482422,17.239999771118164,31.639999389648438
575,123,110.83999633789062,38.79999923706055,15.640000343322754,90.55999755859375
747,961,33.68000030517578,26.799999237060547,7.28000020980835,37.08000183105469
379,617,57.7599983215332,139.47999572753906,5.71999979019165,111.23999786376953
646,977,45.400001525878906,12.0,48.959999084472656,58.20000076293945
845,585,6.679999828338623,45.15999984741211,3.0399999618530273,30.079999923706055
543,549,47.560001373291016,6.599999904632568,87.55999755859375,77.72000122070312
117,992,14.84000015258789,13.359999656677246,72.12000274658203,55.0
826,349,4.0,80.5999984741211,12.760000228881836,53.36000061035156
683,130,89.83999633789062,25.360000610351562,18.520000457763672,73.19999694824219
826,620,32.2400016784668,30.280000686645508,6.440000057220459,37.68000030517578
57,379,58.279998779296875,9.800000190734863,149.0399932861328,118.72000122070312
651,666,8.600000381469727,23.600000381469727,99.95999908447266,72.4000015258789
749,133,211.67999267578125,22.239999771118164,73.12000274658203,168.24000549316406
23,606,21.239999771118164,141.0,4.0,90.76000213623047
282,797,87.5999984741211,40.959999084472656,13.880000114440918,77.95999908447266
212,204,16.600000381469727,8.0,37.599998474121094,34.08000183105469
939,152,33.08000183105469,8.4399995803833,244.9600067138672,156.8800048828125
876,148,29.31999969482422,10.5600004196167,44.040000915527344,46.0
488,838,9.800000190734863,5.400000095367432,132.27999877929688,80.63999938964844
778,955,83.83999633789062,132.44000244140625,7.480000019073486,122.80000305175781
795,38,21.280000686645508,14.760000228881836,57.20000076293945,51.040000915527344
485,832,18.440000534057617,5.039999961853027,212.44000244140625,129.36000061035156
529,884,67.23999786376953,7.880000114440918,164.47999572753906,131.1999969482422
676,978,81.04000091552734,10.720000267028809,88.95999908447266,98.91999816894531
586,970,232.44000244140625,35.84000015258789,39.36000061035156,168.47999572753906
329,730,234.55999755859375,4.0,171.24000549316406,224.27999877929688
188,756,7.400000095367432,70.68000030517578,3.0,44.400001525878906
365,143,74.19999694824219,10.640000343322754,151.8800048828125,129.72000122070312
110,430,11.399999618530273,111.91999816894531,4.0,69.63999938964844
