x,y,layer1_gray,layer2_gray,bilayer_gray
257,897,86.0,5.400000095367432,88.31999969482422
713,382,102.19999694824219,4.400000095367432,103.16000366210938
46,999,6.559999942779541,74.0,78.0
735,635,15.720000267028809,43.08000183105469,56.880001068115234
36,986,34.040000915527344,70.4800033569336,101.36000061035156
469,700,4.880000114440918,81.4800033569336,83.5999984741211
667,626,200.0399932861328,3.0399999618530273,196.60000610351562
491,720,16.31999969482422,86.63999938964844,99.63999938964844
286,136,214.52000427246094,8.640000343322754,215.75999450683594
808,666,4.039999961853027,70.19999694824219,71.91999816894531
286,736,12.119999885559082,58.47999954223633,68.08000183105469
710,69,136.0800018310547,3.440000057220459,135.0
676,638,83.4000015258789,4.440000057220459,85.04000091552734
610,732,83.68000030517578,15.880000114440918,96.36000061035156
38,902,106.12000274658203,8.680000305175781,110.87999725341797
829,398,75.5199966430664,29.520000457763672,101.68000030517578
647,643,64.5199966430664,15.199999809265137,77.04000091552734
118,391,42.47999954223633,30.079999923706055,70.16000366210938
771,380,5.079999923706055,191.83999633789062,190.47999572753906
65,882,55.15999984741211,5.0,58.119998931884766
948,790,183.44000244140625,3.0399999618530273,180.67999267578125
841,648,59.36000061035156,9.199999809265137,66.31999969482422
197,955,80.68000030517578,4.639999866485596,82.68000030517578
247,713,45.68000030517578,10.199999809265137,54.119998931884766
331,233,194.47999572753906,7.639999866485596,195.39999389648438
446,73,76.80000305175781,10.760000228881836,84.72000122070312
802,752,50.84000015258789,4.920000076293945,53.959999084472656
521,995,3.119999885559082,83.19999694824219,83.72000122070312
875,399,63.20000076293945,13.319999694824219,74.08000183105469
141,244,100.76000213623047,5.28000020980835,102.63999938964844
90,460,81.80000305175781,8.0,86.83999633789062
427,75,141.27999877929688,5.0,141.39999389648438
535,395,76.76000213623047,5.639999866485596,79.72000122070312
725,813,11.4399995803833,115.44000244140625,122.76000213623047
170,543,21.1200008392334,52.279998779296875,71.16000366210938
627,141,6.559999942779541,153.36000061035156,154.63999938964844
936,118,172.0399932861328,3.680000066757202,169.8800048828125
56,810,4.0,128.63999938964844,128.24000549316406
92,115,61.47999954223633,4.360000133514404,63.79999923706055
13,793,156.39999389648438,3.0,154.39999389648438
59,995,5.039999961853027,125.16000366210938,125.91999816894531
332,989,3.9600000381469727,90.95999908447266,91.68000030517578
778,957,101.0,7.440000057220459,105.04000091552734
821,559,61.2400016784668,6.71999979019165,65.72000122070312
848,636,210.1999969482422,4.71999979019165,207.9199981689453
676,786,90.55999755859375,4.960000038146973,92.44000244140625
376,46,4.0,173.52000427246094,171.52000427246094
453,831,5.119999885559082,84.80000305175781,86.95999908447266
901,805,10.4399995803833,148.27999877929688,153.55999755859375
765,885,8.0,212.32000732421875,213.0800018310547
781,556,48.15999984741211,27.639999389648438,73.27999877929688
253,574,61.63999938964844,4.039999961853027,63.439998626708984
995,643,8.960000038146973,215.24000549316406,216.75999450683594
435,641,9.600000381469727,155.8800048828125,160.0
761,481,55.84000015258789,4.079999923706055,58.279998779296875
233,491,3.240000009536743,87.55999755859375,88.12000274658203
366,107,51.7599983215332,3.119999885559082,53.279998779296875
276,298,216.72000122070312,5.360000133514404,214.67999267578125
287,49,8.920000076293945,178.39999389648438,181.1199951171875
601,62,71.83999633789062,17.600000381469727,86.55999755859375
845,815,47.2400016784668,23.520000457763672,68.55999755859375
865,551,4.920000076293945,232.0800018310547,229.27999877929688
806,58,210.0399932861328,9.0,211.83999633789062
766,310,143.55999755859375,13.279999732971191,151.83999633789062
94,365,4.480000019073486,101.12000274658203,102.12000274658203
926,884,39.880001068115234,49.279998779296875,86.16000366210938
613,729,103.31999969482422,13.520000457763672,113.04000091552734
632,998,5.039999961853027,61.52000045776367,64.31999969482422
701,494,6.960000038146973,105.19999694824219,108.27999877929688
945,895,12.760000228881836,132.44000244140625,140.44000244140625
863,547,4.079999923706055,219.52000427246094,216.32000732421875
303,564,7.599999904632568,114.12000274658203,117.5999984741211
776,982,121.0,16.959999084472656,133.27999877929688
660,304,170.8800048828125,4.199999809265137,169.27999877929688
851,488,44.31999969482422,10.84000015258789,53.52000045776367
336,479,7.880000114440918,220.83999633789062,221.24000549316406
941,400,5.0,62.36000061035156,65.23999786376953
469,623,188.9199981689453,4.0,186.55999755859375
656,299,230.16000366210938,4.599999904632568,227.0800018310547
674,797,222.63999938964844,7.119999885559082,222.24000549316406
580,811,80.83999633789062,4.239999771118164,82.4800033569336
883,127,24.15999984741211,56.400001525878906,77.91999816894531
230,56,103.76000213623047,13.0,112.87999725341797
